2015-11-25T12:30:00;0;100;0;1;0
2015-11-25T12:45:00;0;100;0;1;0
2015-11-25T13:00:00;0;100;0;1;0
2015-11-25T13:15:00;0;100;0;1;0
2015-11-25T13:30:00;0;100;0;1;0
2015-11-25T13:45:00;0;100;0;1;0
2015-11-25T14:00:00;0;100;0;1;0
2015-11-25T14:15:00;9;100;0;1;0
2015-11-25T14:30:00;19;100;0;1;0
2015-11-25T14:45:00;28;100;0;1;0
2015-11-25T15:00:00;38;100;0;1;0
2015-11-25T15:15:00;89;100;0;1;0
2015-11-25T15:30:00;141;100;0;1;0
2015-11-25T15:45:00;192;100;0;1;0
2015-11-25T16:00:00;244;100;0;1;0
2015-11-25T16:15:00;234;100;0;1;0
2015-11-25T16:30:00;225;100;0;1;0
2015-11-25T16:45:00;216;100;0;1;0
2015-11-25T17:00:00;206;100;0;1;0
2015-11-25T17:15:00;173;100;0;1;0
2015-11-25T17:30:00;141;100;0;1;0
2015-11-25T17:45:00;108;100;0;1;0
2015-11-25T18:00:00;75;100;0;1;0
2015-11-25T18:15:00;220;100;0;1;0
2015-11-25T18:30:00;366;100;0;1;0
2015-11-25T18:45:00;511;100;0;1;0
2015-11-25T19:00:00;656;100;0;1;0
2015-11-25T19:15:00;595;100;0;1;0
2015-11-25T19:30:00;534;100;0;1;0
2015-11-25T19:45:00;473;100;0;1;0
2015-11-25T20:00:00;413;100;0;1;0
2015-11-25T20:15:00;328;100;0;1;0
2015-11-25T20:30:00;244;100;0;1;0
2015-11-25T20:45:00;159;100;0;1;0
2015-11-25T21:00:00;75;100;0;1;0
2015-11-25T21:15:00;56;100;0;1;0
2015-11-25T21:30:00;38;100;0;1;0
2015-11-25T21:45:00;19;100;0;1;0
2015-11-25T22:00:00;0;100;0;1;0
2015-11-25T22:15:00;0;100;0;1;0
2015-11-25T22:30:00;0;100;0;1;0
2015-11-25T22:45:00;0;100;0;1;0
2015-11-25T23:00:00;0;100;0;1;0
2015-11-25T23:15:00;19;100;0;1;0
2015-11-25T23:30:00;38;100;0;1;0
2015-11-25T23:45:00;56;100;0;1;0
2015-11-26T00:00:00;0;100;0;1;0
2015-11-26T00:15:00;14;100;0;1;0
2015-11-26T00:30:00;28;100;0;1;0
2015-11-26T00:45:00;42;100;0;1;0
2015-11-26T01:00:00;56;100;0;1;0
2015-11-26T01:15:00;42;100;0;1;0
2015-11-26T01:30:00;28;100;0;1;0
2015-11-26T01:45:00;14;100;0;1;0
2015-11-26T02:00:00;0;100;0;1;0
2015-11-26T02:15:00;0;100;0;1;0
2015-11-26T02:30:00;0;100;0;1;0
2015-11-26T02:45:00;0;100;0;1;0
2015-11-26T03:00:00;0;100;0;1;0
2015-11-26T03:15:00;0;100;0;1;0
2015-11-26T03:30:00;0;100;0;1;0
2015-11-26T03:45:00;0;100;0;1;0
2015-11-26T04:00:00;0;100;0;1;0
2015-11-26T04:15:00;0;100;0;1;0
2015-11-26T04:30:00;0;100;0;1;0
2015-11-26T04:45:00;0;100;0;1;0
2015-11-26T05:00:00;0;100;0;1;0
2015-11-26T05:15:00;0;100;0;1;0
2015-11-26T05:30:00;0;100;0;1;0
2015-11-26T05:45:00;0;100;0;1;0
2015-11-26T06:00:00;0;100;0;1;0
2015-11-26T06:15:00;0;100;0;1;0
2015-11-26T06:30:00;0;100;0;1;0
2015-11-26T06:45:00;0;100;0;1;0
2015-11-26T07:00:00;0;100;0;1;0
2015-11-26T07:15:00;0;100;0;1;0
2015-11-26T07:30:00;0;100;0;1;0
2015-11-26T07:45:00;0;100;0;1;0
2015-11-26T08:00:00;0;100;0;1;0
2015-11-26T08:15:00;0;100;0;1;0
2015-11-26T08:30:00;0;100;0;1;0
2015-11-26T08:45:00;0;100;0;1;0
2015-11-26T09:00:00;0;100;0;1;0
2015-11-26T09:15:00;0;100;0;1;0
2015-11-26T09:30:00;0;100;0;1;0
2015-11-26T09:45:00;0;100;0;1;0
2015-11-26T10:00:00;0;100;0;1;0
2015-11-26T10:15:00;0;100;0;1;0
2015-11-26T10:30:00;0;100;0;1;0
2015-11-26T10:45:00;0;100;0;1;0
2015-11-26T11:00:00;0;100;0;1;0
2015-11-26T11:15:00;0;100;0;1;0
2015-11-26T11:30:00;0;100;0;1;0
2015-11-26T11:45:00;0;100;0;1;0
2015-11-26T12:00:00;0;100;0;1;0
2015-11-26T12:15:00;5;100;0;1;0
2015-11-26T12:30:00;9;100;0;1;0
2015-11-26T12:45:00;14;100;0;1;0
2015-11-26T13:00:00;19;100;0;1;0
2015-11-26T13:15:00;84;100;0;1;0
2015-11-26T13:30:00;150;100;0;1;0
2015-11-26T13:45:00;216;100;0;1;0
2015-11-26T14:00:00;281;100;0;1;0
2015-11-26T14:15:00;253;100;0;1;0
2015-11-26T14:30:00;225;100;0;1;0
2015-11-26T14:45:00;197;100;0;1;0
2015-11-26T15:00:00;169;100;0;1;0
2015-11-26T15:15:00;206;100;0;1;0
2015-11-26T15:30:00;244;100;0;1;0
2015-11-26T15:45:00;281;100;0;1;0
2015-11-26T16:00:00;319;100;0;1;0
2015-11-26T16:15:00;281;100;0;1;0
2015-11-26T16:30:00;244;100;0;1;0
2015-11-26T16:45:00;206;100;0;1;0
2015-11-26T17:00:00;169;100;0;1;0
2015-11-26T17:15:00;220;100;0;1;0
2015-11-26T17:30:00;272;100;0;1;0
2015-11-26T17:45:00;323;100;0;1;0
2015-11-26T18:00:00;375;100;0;1;0
2015-11-26T18:15:00;323;100;0;1;0
2015-11-26T18:30:00;272;100;0;1;0
2015-11-26T18:45:00;220;100;0;1;0
2015-11-26T19:00:00;169;100;0;1;0
2015-11-26T19:15:00;159;100;0;1;0
2015-11-26T19:30:00;150;100;0;1;0
2015-11-26T19:45:00;141;100;0;1;0
2015-11-26T20:00:00;131;100;0;1;0
2015-11-26T20:15:00;98;100;0;1;0
2015-11-26T20:30:00;66;100;0;1;0
2015-11-26T20:45:00;33;100;0;1;0
2015-11-26T21:00:00;0;100;0;1;0
2015-11-26T21:15:00;0;100;0;1;0
2015-11-26T21:30:00;0;100;0;1;0
2015-11-26T21:45:00;0;100;0;1;0
2015-11-26T22:00:00;0;100;0;1;0
2015-11-26T22:15:00;0;100;0;1;0
2015-11-26T22:30:00;0;100;0;1;0
2015-11-26T22:45:00;0;100;0;1;0
2015-11-26T23:00:00;0;100;0;1;0
2015-11-26T23:15:00;0;100;0;1;0
2015-11-26T23:30:00;0;100;0;1;0
2015-11-26T23:45:00;0;100;0;1;0
2015-11-27T00:00:00;0;100;0;1;0
2015-11-27T00:15:00;28;100;0;1;0
2015-11-27T00:30:00;56;100;0;1;0
2015-11-27T00:45:00;84;100;0;1;0
2015-11-27T01:00:00;113;100;0;1;0
2015-11-27T01:15:00;84;100;0;1;0
2015-11-27T01:30:00;56;100;0;1;0
2015-11-27T01:45:00;28;100;0;1;0
2015-11-27T02:00:00;0;100;0;1;0
2015-11-27T02:15:00;0;100;0;1;0
2015-11-27T02:30:00;0;100;0;1;0
2015-11-27T02:45:00;0;100;0;1;0
2015-11-27T03:00:00;0;100;0;1;0
2015-11-27T03:15:00;52;100;0;1;0
2015-11-27T03:30:00;103;100;0;1;0
2015-11-27T03:45:00;155;100;0;1;0
2015-11-27T04:00:00;206;100;0;1;0
2015-11-27T04:15:00;183;100;0;1;0
2015-11-27T04:30:00;159;100;0;1;0
2015-11-27T04:45:00;136;100;0;1;0
2015-11-27T05:00:00;113;100;0;1;0
2015-11-27T05:15:00;178;100;0;1;0
2015-11-27T05:30:00;244;100;0;1;0
2015-11-27T05:45:00;309;100;0;1;0
2015-11-27T06:00:00;375;100;0;1;0
2015-11-27T06:15:00;361;100;0;1;0
2015-11-27T06:30:00;347;100;0;1;0
2015-11-27T06:45:00;333;100;0;1;0
2015-11-27T07:00:00;319;100;0;1;0
2015-11-27T07:15:00;375;100;0;1;0
2015-11-27T07:30:00;431;100;0;1;0
2015-11-27T07:45:00;488;100;0;1;0
2015-11-27T08:00:00;544;100;0;1;0
2015-11-27T08:15:00;544;100;0;1;0
2015-11-27T08:30:00;544;100;0;1;0
2015-11-27T08:45:00;544;100;0;1;0
2015-11-27T09:00:00;544;100;0;1;0
2015-11-27T09:15:00;591;100;0;1;0
2015-11-27T09:30:00;638;100;0;1;0
2015-11-27T09:45:00;684;100;0;1;0
2015-11-27T10:00:00;731;100;0;1;0
2015-11-27T10:15:00;816;100;0;1;0
2015-11-27T10:30:00;900;100;0;1;0
2015-11-27T10:45:00;984;100;0;1;0
2015-11-27T11:00:00;1069;100;0;1;0
2015-11-27T11:15:00;1050;100;0;1;0
2015-11-27T11:30:00;1031;100;0;1;0
2015-11-27T11:45:00;1013;100;0;1;0
2015-11-27T12:00:00;994;100;0;1;0
2015-11-27T12:15:00;895;100;0;1;0
2015-11-27T12:30:00;797;100;0;1;0
2015-11-27T12:45:00;698;100;0;1;0
2015-11-27T13:00:00;600;100;0;1;0
2015-11-27T13:15:00;502;100;0;1;0
2015-11-27T13:30:00;403;100;0;1;0
2015-11-27T13:45:00;305;100;0;1;0
2015-11-27T14:00:00;206;100;0;1;0
2015-11-27T14:15:00;234;100;0;1;0
2015-11-27T14:30:00;263;100;0;1;0
2015-11-27T14:45:00;291;100;0;1;0
2015-11-27T15:00:00;319;100;0;1;0
2015-11-27T15:15:00;239;100;0;1;0
2015-11-27T15:30:00;159;100;0;1;0
2015-11-27T15:45:00;80;100;0;1;0
2015-11-27T16:00:00;0;100;0;1;0
2015-11-27T16:15:00;0;100;0;1;0
2015-11-27T16:30:00;0;100;0;1;0
2015-11-27T16:45:00;0;100;0;1;0
2015-11-27T17:00:00;0;100;0;1;0
2015-11-27T17:15:00;0;100;0;1;0
2015-11-27T17:30:00;0;100;0;1;0
2015-11-27T17:45:00;0;100;0;1;0
2015-11-27T18:00:00;0;100;0;1;0
2015-11-27T18:15:00;0;100;0;1;0
2015-11-27T18:30:00;0;100;0;1;0
2015-11-27T18:45:00;0;100;0;1;0
2015-11-27T19:00:00;0;100;0;1;0
2015-11-27T19:15:00;0;100;0;1;0
2015-11-27T19:30:00;0;100;0;1;0
2015-11-27T19:45:00;0;100;0;1;0
2015-11-27T20:00:00;0;100;0;1;0
2015-11-27T20:15:00;0;100;0;1;0
2015-11-27T20:30:00;0;100;0;1;0
2015-11-27T20:45:00;0;100;0;1;0
2015-11-27T21:00:00;0;100;0;1;0
2015-11-27T21:15:00;0;100;0;1;0
2015-11-27T21:30:00;0;100;0;1;0
2015-11-27T21:45:00;0;100;0;1;0
2015-11-27T22:00:00;0;100;0;1;0
2015-11-27T22:15:00;0;100;0;1;0
2015-11-27T22:30:00;0;100;0;1;0
2015-11-27T22:45:00;0;100;0;1;0
2015-11-27T23:00:00;0;100;0;1;0
2015-11-27T23:15:00;0;100;0;1;0
2015-11-27T23:30:00;0;100;0;1;0
2015-11-27T23:45:00;0;100;0;1;0
2015-11-28T00:00:00;0;100;0;1;0
2015-11-28T00:15:00;14;100;0;1;0
2015-11-28T00:30:00;28;100;0;1;0
2015-11-28T00:45:00;42;100;0;1;0
2015-11-28T01:00:00;56;100;0;1;0
2015-11-28T01:15:00;42;100;0;1;0
2015-11-28T01:30:00;28;100;0;1;0
2015-11-28T01:45:00;14;100;0;1;0
2015-11-28T02:00:00;0;100;0;1;0
2015-11-28T02:15:00;0;100;0;1;0
2015-11-28T02:30:00;0;100;0;1;0
2015-11-28T02:45:00;0;100;0;1;0
2015-11-28T03:00:00;0;100;0;1;0
2015-11-28T03:15:00;0;100;0;1;0
2015-11-28T03:30:00;0;100;0;1;0
2015-11-28T03:45:00;0;100;0;1;0
2015-11-28T04:00:00;0;100;0;1;0
2015-11-28T04:15:00;0;100;0;1;0
2015-11-28T04:30:00;0;100;0;1;0
2015-11-28T04:45:00;0;100;0;1;0
2015-11-28T05:00:00;0;100;0;1;0
2015-11-28T05:15:00;0;100;0;1;0
2015-11-28T05:30:00;0;100;0;1;0
2015-11-28T05:45:00;0;100;0;1;0
2015-11-28T06:00:00;0;100;0;1;0
2015-11-28T06:15:00;0;100;0;1;0
2015-11-28T06:30:00;0;100;0;1;0
2015-11-28T06:45:00;0;100;0;1;0
2015-11-28T07:00:00;0;100;0;1;0
2015-11-28T07:15:00;0;100;0;1;0
2015-11-28T07:30:00;0;100;0;1;0
2015-11-28T07:45:00;0;100;0;1;0
2015-11-28T08:00:00;0;100;0;1;0
2015-11-28T08:15:00;0;100;0;1;0
2015-11-28T08:30:00;0;100;0;1;0
2015-11-28T08:45:00;0;100;0;1;0
2015-11-28T09:00:00;0;100;0;1;0
2015-11-28T09:15:00;0;100;0;1;0
2015-11-28T09:30:00;0;100;0;1;0
2015-11-28T09:45:00;0;100;0;1;0
2015-11-28T10:00:00;0;100;0;1;0
2015-11-28T10:15:00;0;100;0;1;0
2015-11-28T10:30:00;0;100;0;1;0
2015-11-28T10:45:00;0;100;0;1;0
2015-11-28T11:00:00;0;100;0;1;0
2015-11-28T11:15:00;0;100;0;1;0
2015-11-28T11:30:00;0;100;0;1;0
2015-11-28T11:45:00;0;100;0;1;0
2015-11-28T12:00:00;0;100;0;1;0
2015-11-28T12:15:00;5;100;0;1;0
2015-11-28T12:30:00;9;100;0;1;0
2015-11-28T12:45:00;14;100;0;1;0
2015-11-28T13:00:00;19;100;0;1;0
2015-11-28T13:15:00;84;100;0;1;0
2015-11-28T13:30:00;150;100;0;1;0
2015-11-28T13:45:00;216;100;0;1;0
2015-11-28T14:00:00;281;100;0;1;0
2015-11-28T14:15:00;253;100;0;1;0
2015-11-28T14:30:00;225;100;0;1;0
2015-11-28T14:45:00;197;100;0;1;0
2015-11-28T15:00:00;169;100;0;1;0
2015-11-28T15:15:00;206;100;0;1;0
2015-11-28T15:30:00;244;100;0;1;0
2015-11-28T15:45:00;281;100;0;1;0
2015-11-28T16:00:00;319;100;0;1;0
2015-11-28T16:15:00;281;100;0;1;0
2015-11-28T16:30:00;244;100;0;1;0
2015-11-28T16:45:00;206;100;0;1;0
2015-11-28T17:00:00;169;100;0;1;0
2015-11-28T17:15:00;220;100;0;1;0
2015-11-28T17:30:00;272;100;0;1;0
2015-11-28T17:45:00;323;100;0;1;0
2015-11-28T18:00:00;375;100;0;1;0
2015-11-28T18:15:00;323;100;0;1;0
2015-11-28T18:30:00;272;100;0;1;0
2015-11-28T18:45:00;220;100;0;1;0
2015-11-28T19:00:00;169;100;0;1;0
2015-11-28T19:15:00;159;100;0;1;0
2015-11-28T19:30:00;150;100;0;1;0
2015-11-28T19:45:00;141;100;0;1;0
2015-11-28T20:00:00;131;100;0;1;0
2015-11-28T20:15:00;98;100;0;1;0
2015-11-28T20:30:00;66;100;0;1;0
2015-11-28T20:45:00;33;100;0;1;0
2015-11-28T21:00:00;0;100;0;1;0
2015-11-28T21:15:00;0;100;0;1;0
2015-11-28T21:30:00;0;100;0;1;0
2015-11-28T21:45:00;0;100;0;1;0
2015-11-28T22:00:00;0;100;0;1;0
2015-11-28T22:15:00;0;100;0;1;0
2015-11-28T22:30:00;0;100;0;1;0
2015-11-28T22:45:00;0;100;0;1;0
2015-11-28T23:00:00;0;100;0;1;0
2015-11-28T23:15:00;0;100;0;1;0
2015-11-28T23:30:00;0;100;0;1;0
2015-11-28T23:45:00;0;100;0;1;0
2015-11-29T00:00:00;75;100;0;1;0
2015-11-29T00:15:00;98;100;0;1;0
2015-11-29T00:30:00;122;100;0;1;0
2015-11-29T00:45:00;145;100;0;1;0
2015-11-29T01:00:00;169;100;0;1;0
2015-11-29T01:15:00;145;100;0;1;0
2015-11-29T01:30:00;122;100;0;1;0
2015-11-29T01:45:00;98;100;0;1;0
2015-11-29T02:00:00;75;100;0;1;0
2015-11-29T02:15:00;220;100;0;1;0
2015-11-29T02:30:00;366;100;0;1;0
2015-11-29T02:45:00;511;100;0;1;0
2015-11-29T03:00:00;656;100;0;1;0
2015-11-29T03:15:00;656;100;0;1;0
2015-11-29T03:30:00;656;100;0;1;0
2015-11-29T03:45:00;656;100;0;1;0
2015-11-29T04:00:00;656;100;0;1;0
2015-11-29T04:15:00;502;100;0;1;0
2015-11-29T04:30:00;347;100;0;1;0
2015-11-29T04:45:00;192;100;0;1;0
2015-11-29T05:00:00;38;100;0;1;0
2015-11-29T05:15:00;80;100;0;1;0
2015-11-29T05:30:00;122;100;0;1;0
2015-11-29T05:45:00;164;100;0;1;0
2015-11-29T06:00:00;206;100;0;1;0
2015-11-29T06:15:00;155;100;0;1;0
2015-11-29T06:30:00;103;100;0;1;0
2015-11-29T06:45:00;52;100;0;1;0
2015-11-29T07:00:00;0;100;0;1;0
2015-11-29T07:15:00;42;100;0;1;0
2015-11-29T07:30:00;84;100;0;1;0
2015-11-29T07:45:00;127;100;0;1;0
2015-11-29T08:00:00;169;100;0;1;0
2015-11-29T08:15:00;127;100;0;1;0
2015-11-29T08:30:00;84;100;0;1;0
2015-11-29T08:45:00;42;100;0;1;0
2015-11-29T09:00:00;0;100;0;1;0
2015-11-29T09:15:00;0;100;0;1;0
2015-11-29T09:30:00;0;100;0;1;0
2015-11-29T09:45:00;0;100;0;1;0
2015-11-29T10:00:00;0;100;0;1;0
2015-11-29T10:15:00;0;100;0;1;0
2015-11-29T10:30:00;0;100;0;1;0
2015-11-29T10:45:00;0;100;0;1;0
2015-11-29T11:00:00;0;100;0;1;0
2015-11-29T11:15:00;0;100;0;1;0
2015-11-29T11:30:00;0;100;0;1;0
2015-11-29T11:45:00;0;100;0;1;0
2015-11-29T12:00:00;0;100;0;1;0
2015-11-29T12:15:00;0;100;0;1;0
2015-11-29T12:30:00;0;100;0;1;0
2015-11-29T12:45:00;0;100;0;1;0
2015-11-29T13:00:00;0;100;0;1;0
2015-11-29T13:15:00;0;100;0;1;0
2015-11-29T13:30:00;0;100;0;1;0
2015-11-29T13:45:00;0;100;0;1;0
2015-11-29T14:00:00;0;100;0;1;0
2015-11-29T14:15:00;9;100;0;1;0
2015-11-29T14:30:00;19;100;0;1;0
2015-11-29T14:45:00;28;100;0;1;0
2015-11-29T15:00:00;38;100;0;1;0
2015-11-29T15:15:00;89;100;0;1;0
2015-11-29T15:30:00;141;100;0;1;0
2015-11-29T15:45:00;192;100;0;1;0
2015-11-29T16:00:00;244;100;0;1;0
2015-11-29T16:15:00;234;100;0;1;0
2015-11-29T16:30:00;225;100;0;1;0
2015-11-29T16:45:00;216;100;0;1;0
2015-11-29T17:00:00;206;100;0;1;0
2015-11-29T17:15:00;173;100;0;1;0
2015-11-29T17:30:00;141;100;0;1;0
2015-11-29T17:45:00;108;100;0;1;0
2015-11-29T18:00:00;75;100;0;1;0
2015-11-29T18:15:00;220;100;0;1;0
2015-11-29T18:30:00;366;100;0;1;0
2015-11-29T18:45:00;511;100;0;1;0
2015-11-29T19:00:00;656;100;0;1;0
2015-11-29T19:15:00;595;100;0;1;0
2015-11-29T19:30:00;534;100;0;1;0
2015-11-29T19:45:00;473;100;0;1;0
2015-11-29T20:00:00;413;100;0;1;0
2015-11-29T20:15:00;328;100;0;1;0
2015-11-29T20:30:00;244;100;0;1;0
2015-11-29T20:45:00;159;100;0;1;0
2015-11-29T21:00:00;75;100;0;1;0
2015-11-29T21:15:00;56;100;0;1;0
2015-11-29T21:30:00;38;100;0;1;0
2015-11-29T21:45:00;19;100;0;1;0
2015-11-29T22:00:00;0;100;0;1;0
2015-11-29T22:15:00;0;100;0;1;0
2015-11-29T22:30:00;0;100;0;1;0
2015-11-29T22:45:00;0;100;0;1;0
2015-11-29T23:00:00;0;100;0;1;0
2015-11-29T23:15:00;19;100;0;1;0
2015-11-29T23:30:00;38;100;0;1;0
2015-11-29T23:45:00;56;100;0;1;0
2015-11-30T00:00:00;0;100;0;1;0
2015-11-30T00:15:00;14;100;0;1;0
2015-11-30T00:30:00;28;100;0;1;0
2015-11-30T00:45:00;42;100;0;1;0
2015-11-30T01:00:00;56;100;0;1;0
2015-11-30T01:15:00;42;100;0;1;0
2015-11-30T01:30:00;28;100;0;1;0
2015-11-30T01:45:00;14;100;0;1;0
2015-11-30T02:00:00;0;100;0;1;0
2015-11-30T02:15:00;0;100;0;1;0
2015-11-30T02:30:00;0;100;0;1;0
2015-11-30T02:45:00;0;100;0;1;0
2015-11-30T03:00:00;0;100;0;1;0
2015-11-30T03:15:00;0;100;0;1;0
2015-11-30T03:30:00;0;100;0;1;0
2015-11-30T03:45:00;0;100;0;1;0
2015-11-30T04:00:00;0;100;0;1;0
2015-11-30T04:15:00;0;100;0;1;0
2015-11-30T04:30:00;0;100;0;1;0
2015-11-30T04:45:00;0;100;0;1;0
2015-11-30T05:00:00;0;100;0;1;0
2015-11-30T05:15:00;0;100;0;1;0
2015-11-30T05:30:00;0;100;0;1;0
2015-11-30T05:45:00;0;100;0;1;0
2015-11-30T06:00:00;0;100;0;1;0
2015-11-30T06:15:00;0;100;0;1;0
2015-11-30T06:30:00;0;100;0;1;0
2015-11-30T06:45:00;0;100;0;1;0
2015-11-30T07:00:00;0;100;0;1;0
2015-11-30T07:15:00;0;100;0;1;0
2015-11-30T07:30:00;0;100;0;1;0
2015-11-30T07:45:00;0;100;0;1;0
